"text","label"
"Daily payouts are guaranteed for every task you complete",1
"Our members are already making 3000 per day doing basic online work",1
"Simply watch videos and earn rewards credited to your wallet",1
"Stipend will be provided after 3 months of training",0
"we are hiring python intern apply now",0
"We are looking for a frontend developer with React skills",0
"Internship opportunity for data science students",0
"Candidates should have knowledge of Python and SQL",0
"6-month internship with stipend based on performance",0
"We are looking for a frontend developer with React skills.",0
"Internship opportunity for data science students.",0
"We are hiring for our Summer Internship Program.",0
"Join our team as a developer.",0
"We are currently accepting applications for internship.",0
"Excited to announce that applications are now open for our internship cohort.",0
"Candidates should have knowledge of Python and SQL.",0
"Requirements include strong proficiency in React, excellent communication skills, and the ability to work in a team.",0
"Preferred qualifications include prior experience with data analysis tools and familiarity with machine learning concepts.",0
"Experience with cloud platforms is a plus.",0
"The ideal candidate will have a computer science background and hands-on experience in web development.",0
"Strong understanding of algorithms and proven ability to debug code efficiently.",0
"6-month internship with stipend based on performance.",0
"This is a full-time paid internship lasting four months.",0
"The internship runs from June to December, approximately 30 hours per week.",0
"Competitive stipend will be provided along with mentorship opportunities.",0
"This position offers benefits including professional development sessions and potential for full-time conversion upon successful completion.",0
"Upon successful completion, there may be potential for full-time employment.",0
"Responsibilities include assisting with frontend development, conducting market research, and participating in team meetings.",0
"You will gain hands-on experience in data analytics while working closely with our engineering team.",0
"Key duties involve developing responsive web applications and collaborating on project deliverables.",0
"This role provides valuable exposure to real-world projects in software development.",0
"To apply, please submit your resume and cover letter via our careers portal.",0
"Applications will be reviewed on a rolling basis with a deadline of April 15.",0
"Selected candidates will be contacted for an interview.",0
"Please apply through our official website at companyname.com/careers.",0
"For more information or questions, contact the recruiting team at hr@company.com.",0
"This internship is designed to provide you with hands-on experience and professional development in your field of interest.",0
"Be part of a dynamic team working on innovative projects.",0
"We offer a collaborative environment where interns contribute meaningfully to ongoing initiatives.",0
"Join our award-winning internship program and build your career foundation with us.",0
"We are pleased to extend an offer for the software engineering internship position.",0
"Congratulations! We are excited to offer you a place in our marketing internship program.",0
"Your start date will be June 1, and you will report to the team lead.",0
"This offer is contingent upon successful completion of a background check where applicable.",0
"We look forward to welcoming you to the team and wish you a successful internship.",0
"We are looking for a motivated individual to join our product team",0
"This role is based out of our Bengaluru office with hybrid work options",0
"Applicants must be currently enrolled in a bachelor or master program",0
"The position requires a minimum GPA of 7.0 or equivalent",0
"Candidates with prior internship experience will be preferred",0
"We are seeking a passionate UI UX designer with a strong portfolio",0
"This is a remote internship open to candidates across India",0
"The internship is unpaid but offers a certificate of completion and letter of recommendation",0
"You will work directly with our product and engineering teams",0
"We welcome applications from candidates of all backgrounds and experiences",0
"The hiring process includes a technical assessment followed by two rounds of interviews",0
"Shortlisted candidates will be notified via email within 7 to 10 business days",0
"Please include a link to your GitHub profile or portfolio in your application",0
"The internship duration is 3 months with a possibility of extension",0
"We are an equal opportunity employer and encourage diversity in our workplace",0
"Interns will be assigned a dedicated mentor throughout the program",0
"The role involves conducting user research and preparing reports for stakeholders",0
"Proficiency in Microsoft Excel and data visualization tools is required",0
"Applicants should be comfortable working in an agile development environment",0
"The selected candidate will assist in drafting content for digital marketing campaigns",0
"This is a stipend-based internship offering 10000 to 15000 per month",0
"Experience with REST APIs and version control systems like Git is preferred",0
"We are a Series B funded startup hiring for multiple technical roles",0
"The application form is available on our LinkedIn page and official website",0
"This internship counts toward academic credit for eligible students",0
"Responsibilities include testing software features and reporting bugs to the development team",0
"We are looking for someone with strong written and verbal communication skills",0
"The position is open to final year students and recent graduates",0
"Candidates must be available for at least 20 hours per week during the internship",0
"A valid government ID and educational certificate will be required during onboarding",0
"Our internship program has a structured curriculum with weekly learning goals",0
"Interviews will be conducted virtually via Google Meet or Microsoft Teams",0
"The role demands experience with containerization tools such as Docker or Kubernetes",0
"You will be evaluated through a case study round before the final interview",0
"We follow a structured onboarding process spanning the first two weeks",0
"The internship includes bi-weekly feedback sessions with your reporting manager",0
"Preference will be given to candidates familiar with agile or scrum methodology",0
"The final offer is subject to document verification and reference checks",0
"This fellowship is open to postgraduate students in computer science or related fields",0
"The compensation structure includes a fixed stipend and reimbursement for work-related expenses",0
"Candidates are expected to submit a portfolio or sample work during application",0
"The team operates across multiple time zones so flexibility in working hours is valued",0
"We are a DPIIT recognized startup and offer meaningful work on live products",0
"Selected applicants will receive a formal offer document via email before joining",0
"The position involves regular communication with clients so strong interpersonal skills are essential",0
"Academic transcripts may be requested during the final stage of the selection process",0
"We do not charge any fee at any stage of our recruitment process",0
"Interns are expected to maintain a daily log of their tasks and progress",0
"The project you work on may be presented at our quarterly review",0
"A non-disclosure agreement will be signed prior to the commencement of work",0
"We provide a no-cost learning subscription to interns for the duration of the program",0
